7040, 7018, 2.01, 2023-08-12 22:24:16, 7001,
7040, 7018, 2.01, 2023-08-23 21:05:43, 7002,
7040, 7018, 1.92, 2023-08-24 03:11:32, 7001,
7040, 7018, 2.01, 2023-09-23 11:58:24, 7002,
7040, 7018, 2.01, 2023-10-19 03:47:31, 7002,
7040, 7018, 2.01, 2023-11-04 04:34:17, 7001,
7040, 7018, 1.87, 2023-11-19 23:00:00, 7003,
7040, 7018, 2.01, 2023-11-20 02:29:05, 7002,
7040, 7018, 2.01, 2024-04-26 21:52:38, 7005,
7040, 7018, 1.92, 2024-04-27 01:25:58, 7003,
7040, 7018, 2.01, 2024-06-25 15:32:51, 7001,
7040, 7018, 2.15, 2024-06-27 23:58:59, 7005,
7040, 7028, 1.91, 2023-06-05 10:45:25, 7004,
7040, 7028, 2.00, 2023-07-03 15:56:48, 7001,
7040, 7028, 1.91, 2023-08-08 10:25:46, 7001,
7040, 7028, 1.77, 2023-08-18 02:39:59, 7001,
7040, 7028, 1.82, 2023-10-20 08:38:10, 7004,
7040, 7028, 2.00, 2023-10-23 05:46:09, 7001,
7040, 7028, 2.05, 2023-11-17 09:11:49, 7003,
7040, 7028, 2.05, 2023-12-04 20:51:47, 7002,
7040, 7028, 1.91, 2024-01-03 10:54:11, 7001,
7040, 7028, 2.00, 2024-01-14 08:11:55, 7002,
7040, 7028, 1.91, 2024-01-16 11:39:52, 7002,
7040, 7028, 1.82, 2024-01-17 12:55:02, 7004,
7040, 7028, 1.91, 2024-02-01 11:18:06, 7001,
7040, 7028, 1.91, 2024-02-03 14:45:59, 7003,
7040, 7028, 1.82, 2024-02-10 20:17:50, 7003,
7040, 7028, 1.82, 2024-02-17 08:59:52, 7003,
7040, 7028, 2.00, 2024-03-02 01:11:41, 7002,
7040, 7028, 1.77, 2024-03-12 21:19:54, 7003,
7040, 7028, 2.00, 2024-03-18 04:05:51, 7002,
7040, 7028, 1.91, 2024-03-20 05:59:16, 7004,
7040, 7028, 2.05, 2024-03-22 09:46:37, 7003,
7040, 7028, 1.91, 2024-03-25 22:00:17, 7004,
7040, 7028, 1.82, 2024-04-04 21:01:27, 7001,
7040, 7028, 1.82, 2024-04-07 07:56:45, 7002,
7040, 7028, 1.82, 2024-04-09 16:27:15, 7001,
7040, 7028, 1.91, 2024-04-13 08:25:02, 7002,
7040, 7028, 2.05, 2024-04-13 11:58:29, 7004,
7040, 7028, 1.82, 2024-04-13 14:47:06, 7003,
7040, 7028, 1.82, 2024-04-20 21:21:07, 7003,
7040, 7028, 2.00, 2024-04-23 09:34:41, 7001,
7040, 7028, 2.00, 2024-04-28 23:57:54, 7002,
7040, 7028, 1.91, 2024-05-08 00:21:43, 7002,
7040, 7028, 1.91, 2024-05-08 23:05:32, 7003,
7040, 7028, 2.05, 2024-05-25 05:28:44, 7004,
7040, 7028, 1.91, 2024-06-09 11:35:27, 7004,
7040, 7028, 2.00, 2024-06-10 00:02:10, 7003,
7040, 7028, 2.00, 2024-06-13 15:55:42, 7002,
7040, 7028, 1.77, 2024-06-21 19:51:51, 7001,
7040, 7032, 2.83, 2023-06-05 19:30:09, 7001,
7040, 7032, 2.83, 2023-08-14 10:50:50, 7001,
7040, 7032, 2.97, 2023-08-22 21:14:27, 7002
